,country_name,city_name,aqi_value,aqi_category,co_aqi_value,co_aqi_category,ozone_aqi_value,ozone_aqi_category,no2_aqi_value,no2_aqi_category,pm2.5_aqi_value,pm2.5_aqi_category
5294,China,Tongchuan,163,Unhealthy,5,Good,163,Unhealthy,4,Good,136,Unhealthy for Sensitive Groups
5295,China,Tounan,203,Very Unhealthy,4,Good,203,Very Unhealthy,6,Good,156,Unhealthy
5306,India,Ujjain,156,Unhealthy,1,Good,36,Good,0,Good,156,Unhealthy
5324,South Africa,Welkom,153,Unhealthy,7,Good,6,Good,9,Good,153,Unhealthy
5335,China,Wuhan,175,Unhealthy,6,Good,175,Unhealthy,6,Good,157,Unhealthy
5341,China,Yanliang,203,Very Unhealthy,4,Good,203,Very Unhealthy,6,Good,139,Unhealthy for Sensitive Groups
5347,China,Yishui,155,Unhealthy,2,Good,155,Unhealthy,1,Good,83,Moderate
5351,China,Zhaoyang,198,Unhealthy,4,Good,198,Unhealthy,5,Good,128,Unhealthy for Sensitive Groups
5352,China,Zhenjiang,181,Unhealthy,5,Good,181,Unhealthy,11,Good,151,Unhealthy
5361,South Africa,Vredefort,198,Unhealthy,22,Good,10,Good,15,Good,198,Unhealthy
5372,Pakistan,Mehar,160,Unhealthy,1,Good,49,Good,0,Good,160,Unhealthy
5407,India,Fatwa,176,Unhealthy,4,Good,155,Unhealthy,1,Good,176,Unhealthy
5429,India,Bagra,184,Unhealthy,1,Good,78,Moderate,1,Good,184,Unhealthy
5430,India,Baihar,152,Unhealthy,0,Good,38,Good,0,Good,152,Unhealthy
5432,Senegal,Bambey,159,Unhealthy,2,Good,25,Good,3,Good,159,Unhealthy
5435,India,Banga,324,Hazardous,2,Good,150,Unhealthy,1,Good,324,Hazardous
5437,India,Bar Bigha,290,Very Unhealthy,2,Good,99,Moderate,1,Good,283,Very Unhealthy
5451,India,Begun,156,Unhealthy,0,Good,42,Good,0,Good,156,Unhealthy
5461,India,Bettiah,265,Very Unhealthy,4,Good,166,Unhealthy,1,Good,265,Very Unhealthy
5462,Pakistan,Bhan,161,Unhealthy,1,Good,40,Good,0,Good,161,Unhealthy
5463,Bangladesh,Bhandaria,156,Unhealthy,1,Good,45,Good,1,Good,156,Unhealthy
5464,India,Bhasawar,194,Unhealthy,1,Good,43,Good,0,Good,194,Unhealthy
5466,India,Bhuban,162,Unhealthy,1,Good,92,Moderate,2,Good,162,Unhealthy
5473,China,Changying,153,Unhealthy,2,Good,153,Unhealthy,2,Good,100,Unhealthy for Sensitive Groups
5475,India,Chhachhrauli,500,Hazardous,1,Good,82,Moderate,1,Good,461,Hazardous
5476,Pakistan,Chiniot,275,Very Unhealthy,2,Good,112,Unhealthy for Sensitive Groups,1,Good,275,Very Unhealthy
5479,India,Chodavaram,153,Unhealthy,1,Good,47,Good,0,Good,153,Unhealthy
5482,India,Chopan,201,Very Unhealthy,1,Good,47,Good,0,Good,201,Very Unhealthy
5483,India,Chunar,275,Very Unhealthy,1,Good,49,Good,1,Good,245,Very Unhealthy
5490,India,Birmitrapur,165,Unhealthy,1,Good,109,Unhealthy for Sensitive Groups,1,Good,165,Unhealthy
5491,India,Birpur,204,Very Unhealthy,3,Good,100,Unhealthy for Sensitive Groups,0,Good,204,Very Unhealthy
5498,India,Bombay,155,Unhealthy,2,Good,25,Good,1,Good,155,Unhealthy
5554,Mexico,Amozoc,164,Unhealthy,4,Good,1,Good,9,Good,164,Unhealthy
5555,India,Amreli,154,Unhealthy,0,Good,31,Good,0,Good,154,Unhealthy
5563,China,Shishou,152,Unhealthy,3,Good,152,Unhealthy,2,Good,91,Moderate
5564,Pakistan,Shorkot,208,Very Unhealthy,2,Good,151,Unhealthy,1,Good,208,Very Unhealthy
5565,India,Sijua,185,Unhealthy,1,Good,78,Moderate,1,Good,185,Unhealthy
5571,India,Sisauli,500,Hazardous,1,Good,47,Good,1,Good,500,Hazardous
5638,Niger,Agadez,152,Unhealthy,1,Good,37,Good,0,Good,152,Unhealthy
5642,India,Aland,161,Unhealthy,2,Good,32,Good,3,Good,161,Unhealthy
5650,India,Alwar,172,Unhealthy,4,Good,76,Moderate,6,Good,172,Unhealthy
5651,India,Amritsar,168,Unhealthy,4,Good,39,Good,9,Good,168,Unhealthy
5656,Mexico,Apizaco,230,Very Unhealthy,1,Good,34,Good,3,Good,230,Very Unhealthy
5658,India,Arang,155,Unhealthy,3,Good,38,Good,3,Good,155,Unhealthy
5673,Pakistan,Baddomalhi,172,Unhealthy,5,Good,30,Good,14,Good,172,Unhealthy
5680,India,Sihora,163,Unhealthy,4,Good,39,Good,5,Good,163,Unhealthy
5695,India,Tendukheda,165,Unhealthy,4,Good,34,Good,6,Good,165,Unhealthy
5699,India,Thana Bhawan,171,Unhealthy,5,Good,38,Good,12,Good,171,Unhealthy
5712,Mexico,Tlalnepantla,195,Unhealthy,2,Good,39,Good,5,Good,195,Unhealthy
5725,Indonesia,Tulungagung,165,Unhealthy,6,Good,13,Good,14,Good,165,Unhealthy
5729,Pakistan,Uch,191,Unhealthy,2,Good,38,Good,5,Good,191,Unhealthy
5751,India,Sarwar,169,Unhealthy,1,Good,30,Good,4,Good,169,Unhealthy
5764,Indonesia,Seyegan,168,Unhealthy,7,Good,12,Good,20,Good,168,Unhealthy
5776,Philippines,Meycauayan,152,Unhealthy,4,Good,22,Good,9,Good,152,Unhealthy
5781,Pakistan,Minchinabad,167,Unhealthy,4,Good,88,Moderate,6,Good,167,Unhealthy
5784,Pakistan,Mirpur Khas,156,Unhealthy,1,Good,30,Good,2,Good,156,Unhealthy
5785,Pakistan,Mirpur Mathelo,162,Unhealthy,2,Good,16,Good,12,Good,162,Unhealthy
5792,Indonesia,Mranggen,161,Unhealthy,6,Good,19,Good,15,Good,161,Unhealthy
5794,Pakistan,Mustafabad,169,Unhealthy,4,Good,95,Moderate,6,Good,169,Unhealthy
5800,China,Nanyang,153,Unhealthy,5,Good,76,Moderate,16,Good,153,Unhealthy
5812,Mexico,Nezahualcoyotl,209,Very Unhealthy,2,Good,41,Good,5,Good,209,Very Unhealthy
5821,Mauritania,Nouakchott,166,Unhealthy,1,Good,22,Good,0,Good,166,Unhealthy
5837,China,Dehui,156,Unhealthy,4,Good,45,Good,8,Good,156,Unhealthy
5872,India,Firozpur Jhirka,174,Unhealthy,5,Good,50,Good,10,Good,174,Unhealthy
5882,India,Gadarwara,161,Unhealthy,2,Good,41,Good,2,Good,161,Unhealthy
5892,India,Ghosi,171,Unhealthy,4,Good,89,Moderate,5,Good,171,Unhealthy
5906,Indonesia,Wonosari,174,Unhealthy,7,Good,7,Good,20,Good,174,Unhealthy
5913,China,Yangshe,207,Very Unhealthy,11,Good,3,Good,49,Good,207,Very Unhealthy
5916,India,Aron,212,Very Unhealthy,1,Good,39,Good,0,Good,212,Very Unhealthy
5921,Pakistan,Attock,156,Unhealthy,3,Good,156,Unhealthy,1,Good,156,Unhealthy
5952,China,Chengkung,182,Unhealthy,2,Good,182,Unhealthy,8,Good,142,Unhealthy for Sensitive Groups
5954,China,Chihu,198,Unhealthy,3,Good,198,Unhealthy,14,Good,152,Unhealthy
5957,China,Chushan,201,Very Unhealthy,2,Good,201,Very Unhealthy,7,Good,151,Unhealthy
5977,Senegal,Dakar,166,Unhealthy,1,Good,21,Good,2,Good,166,Unhealthy
5992,India,Dongargaon,178,Unhealthy,1,Good,39,Good,0,Good,178,Unhealthy
6008,India,Chhaprauli,158,Unhealthy,3,Good,158,Unhealthy,2,Good,158,Unhealthy
6009,India,Chhindwara,176,Unhealthy,1,Good,34,Good,0,Good,176,Unhealthy
6028,India,Dadri,178,Unhealthy,4,Good,170,Unhealthy,3,Good,178,Unhealthy
6055,Chad,Faya,156,Unhealthy,1,Good,29,Good,0,Good,156,Unhealthy
6061,India,Beawar,221,Very Unhealthy,1,Good,35,Good,0,Good,221,Very Unhealthy
6073,India,Bhitarwar,230,Very Unhealthy,1,Good,46,Good,0,Good,230,Very Unhealthy
6102,Pakistan,Garhi Yasin,186,Unhealthy,1,Good,115,Unhealthy for Sensitive Groups,1,Good,186,Unhealthy
6107,Ethiopia,Dubti,152,Unhealthy,1,Good,34,Good,0,Good,152,Unhealthy
6115,Mexico,Zacatlan,166,Unhealthy,3,Good,6,Good,9,Good,166,Unhealthy
6126,China,Xinxiang,178,Unhealthy,6,Good,172,Unhealthy,10,Good,178,Unhealthy
6133,Kazakhstan,Ilyich,161,Unhealthy,1,Good,56,Moderate,0,Good,161,Unhealthy
6149,India,Jawad,166,Unhealthy,1,Good,36,Good,0,Good,166,Unhealthy
6155,China,Jishui,186,Unhealthy,4,Good,186,Unhealthy,4,Good,155,Unhealthy
6163,Pakistan,Kabirwala,159,Unhealthy,3,Good,156,Unhealthy,1,Good,159,Unhealthy
6170,Pakistan,Kalur Kot,174,Unhealthy,3,Good,150,Unhealthy,0,Good,174,Unhealthy
6195,China,Hami,177,Unhealthy,0,Good,40,Good,0,Good,177,Unhealthy
6206,India,Hisar,174,Unhealthy,3,Good,174,Unhealthy,1,Good,167,Unhealthy
6266,India,Nabha,170,Unhealthy,4,Good,170,Unhealthy,1,Good,166,Unhealthy
6272,India,Saidpur,174,Unhealthy,4,Good,173,Unhealthy,2,Good,174,Unhealthy
6301,United States of America,Pembroke Pines,162,Unhealthy,6,Good,5,Good,18,Good,162,Unhealthy
6302,Chile,Penaflor,158,Unhealthy,4,Good,9,Good,20,Good,158,Unhealthy
6316,India,Jahangirabad,178,Unhealthy,4,Good,175,Unhealthy,2,Good,178,Unhealthy
6319,Pakistan,Jaranwala,167,Unhealthy,3,Good,148,Unhealthy for Sensitive Groups,1,Good,167,Unhealthy
6320,Pakistan,Jhudo,163,Unhealthy,1,Good,38,Good,0,Good,163,Unhealthy
6323,Pakistan,Jiwani,157,Unhealthy,0,Good,31,Good,0,Good,157,Unhealthy
6328,China,Juxian,156,Unhealthy,3,Good,156,Unhealthy,2,Good,113,Unhealthy for Sensitive Groups
6345,India,Revelganj,156,Unhealthy,4,Good,156,Unhealthy,1,Good,156,Unhealthy
6346,India,Rewari,170,Unhealthy,2,Good,107,Unhealthy for Sensitive Groups,0,Good,170,Unhealthy
6352,Iran (Islamic Republic of),Robat Karim,210,Very Unhealthy,3,Good,210,Very Unhealthy,5,Good,161,Unhealthy
6353,Pakistan,Rohri,188,Unhealthy,1,Good,56,Moderate,1,Good,188,Unhealthy
6359,Mexico,Teotihuacan,178,Unhealthy,3,Good,7,Good,14,Good,178,Unhealthy
6360,Mexico,Tepotzotlan,155,Unhealthy,4,Good,8,Good,14,Good,155,Unhealthy
6368,India,Titron,160,Unhealthy,3,Good,130,Unhealthy for Sensitive Groups,1,Good,160,Unhealthy
6382,Mexico,Tultepec,168,Unhealthy,4,Good,6,Good,16,Good,168,Unhealthy
6401,India,Vijapur,158,Unhealthy,1,Good,35,Good,0,Good,158,Unhealthy
6451,India,Loharu,194,Unhealthy,2,Good,114,Unhealthy for Sensitive Groups,1,Good,194,Unhealthy
6456,Namibia,Luderitz,232,Very Unhealthy,0,Good,8,Good,0,Good,232,Very Unhealthy
6508,India,Sadat,172,Unhealthy,3,Good,141,Unhealthy for Sensitive Groups,1,Good,172,Unhealthy
6514,India,Salumbar,164,Unhealthy,1,Good,35,Good,0,Good,164,Unhealthy
6552,China,Taoyuan,175,Unhealthy,6,Good,24,Good,41,Good,175,Unhealthy
6554,India,Sonamukhi,159,Unhealthy,4,Good,28,Good,12,Good,159,Unhealthy
6589,Pakistan,Ghauspur,169,Unhealthy,1,Good,47,Good,0,Good,169,Unhealthy
6596,China,Huangcun,156,Unhealthy,4,Good,101,Unhealthy for Sensitive Groups,11,Good,156,Unhealthy
6601,India,Ichhawar,162,Unhealthy,1,Good,39,Good,0,Good,162,Unhealthy
6607,Democratic Republic of the Congo,Kasongo,201,Very Unhealthy,10,Good,48,Good,8,Good,201,Very Unhealthy
6610,Kuwait,Kayfan,164,Unhealthy,2,Good,159,Unhealthy,5,Good,164,Unhealthy
6612,Indonesia,Kebomas,158,Unhealthy,2,Good,104,Unhealthy for Sensitive Groups,1,Good,158,Unhealthy
6615,Pakistan,Khalabat,164,Unhealthy,3,Good,139,Unhealthy for Sensitive Groups,0,Good,164,Unhealthy
6617,India,Khanna,165,Unhealthy,3,Good,165,Unhealthy,1,Good,162,Unhealthy
6618,Venezuela (Bolivarian Republic of),Mariara,165,Unhealthy,4,Good,3,Good,18,Good,165,Unhealthy
6624,India,Mathura,171,Unhealthy,4,Good,168,Unhealthy,1,Good,171,Unhealthy
6641,Pakistan,Chak Azam Sahu,193,Unhealthy,2,Good,140,Unhealthy for Sensitive Groups,1,Good,193,Unhealthy
6642,India,Chandausi,174,Unhealthy,4,Good,174,Unhealthy,1,Good,159,Unhealthy
6645,India,Chatra,186,Unhealthy,2,Good,87,Moderate,0,Good,186,Unhealthy
6657,India,Churu,500,Hazardous,1,Good,37,Good,0,Good,500,Hazardous
6672,United States of America,Country Club,153,Unhealthy,4,Good,4,Good,20,Good,153,Unhealthy
6676,India,Baleshwar,160,Unhealthy,2,Good,59,Moderate,1,Good,160,Unhealthy
6692,India,Bhatapara,180,Unhealthy,1,Good,58,Moderate,1,Good,180,Unhealthy
6694,India,Bikaner,500,Hazardous,1,Good,36,Good,0,Good,500,Hazardous
6731,India,Bodri,174,Unhealthy,1,Good,38,Good,0,Good,174,Unhealthy
6741,India,Brajrajnagar,162,Unhealthy,1,Good,48,Good,0,Good,162,Unhealthy
6745,Uganda,Bugembe,156,Unhealthy,7,Good,14,Good,4,Good,156,Unhealthy
6749,India,Bundi,168,Unhealthy,1,Good,36,Good,0,Good,168,Unhealthy
6767,Nigeria,Aba,196,Unhealthy,13,Good,6,Good,13,Good,196,Unhealthy
6768,Bangladesh,Abhaynagar,187,Unhealthy,2,Good,47,Good,3,Good,187,Unhealthy
6786,India,Aonla,500,Hazardous,4,Good,149,Unhealthy for Sensitive Groups,4,Good,479,Hazardous
6787,India,Ara,209,Very Unhealthy,2,Good,103,Unhealthy for Sensitive Groups,1,Good,209,Very Unhealthy
6793,India,Ashta,152,Unhealthy,1,Good,37,Good,0,Good,152,Unhealthy
6801,India,Auraiya,249,Very Unhealthy,1,Good,47,Good,0,Good,249,Very Unhealthy
6816,China,Baoning,153,Unhealthy,4,Good,146,Unhealthy for Sensitive Groups,3,Good,153,Unhealthy
6817,India,Bari,195,Unhealthy,1,Good,45,Good,0,Good,195,Unhealthy
6818,India,Basudebpur,166,Unhealthy,1,Good,73,Moderate,1,Good,166,Unhealthy
6826,India,Akbarpur,224,Very Unhealthy,2,Good,85,Moderate,1,Good,224,Very Unhealthy
6828,India,Alapur,167,Unhealthy,3,Good,164,Unhealthy,3,Good,167,Unhealthy
6834,India,Amanganj,199,Unhealthy,1,Good,43,Good,0,Good,199,Unhealthy
6859,India,Bagula,159,Unhealthy,5,Good,95,Moderate,4,Good,159,Unhealthy
6865,India,Sihor,152,Unhealthy,0,Good,31,Good,0,Good,152,Unhealthy
6866,India,Sikandra,242,Very Unhealthy,1,Good,73,Moderate,1,Good,242,Very Unhealthy
6879,India,Behat,176,Unhealthy,3,Good,176,Unhealthy,1,Good,107,Unhealthy for Sensitive Groups
6880,India,Bela,305,Hazardous,1,Good,48,Good,1,Good,280,Very Unhealthy
6891,India,Bilaua,190,Unhealthy,1,Good,38,Good,0,Good,190,Unhealthy
6901,China,Qufu,200,Unhealthy,5,Good,200,Unhealthy,6,Good,151,Unhealthy
6909,India,Ratanpur,188,Unhealthy,1,Good,64,Moderate,2,Good,188,Unhealthy
6914,Brazil,Rio Grande Da Serra,153,Unhealthy,4,Good,2,Good,19,Good,153,Unhealthy
6951,China,Shahe,202,Very Unhealthy,8,Good,202,Very Unhealthy,12,Good,180,Unhealthy
6952,India,Shahgarh,188,Unhealthy,1,Good,40,Good,0,Good,188,Unhealthy
6970,India,Naraini,185,Unhealthy,1,Good,42,Good,0,Good,185,Unhealthy
6975,India,Nawalgarh,500,Hazardous,1,Good,33,Good,0,Good,412,Hazardous
6990,India,Nuh,500,Hazardous,1,Good,44,Good,1,Good,420,Hazardous
7019,Brazil,Monte Mor,156,Unhealthy,5,Good,1,Good,12,Good,156,Unhealthy
7029,China,Liaocheng,184,Unhealthy,7,Good,147,Unhealthy for Sensitive Groups,18,Good,184,Unhealthy
7038,India,Madhubani,172,Unhealthy,3,Good,121,Unhealthy for Sensitive Groups,1,Good,172,Unhealthy
7041,Kenya,Makueni,159,Unhealthy,6,Good,12,Good,3,Good,159,Unhealthy
7045,India,Mandla,156,Unhealthy,1,Good,35,Good,0,Good,156,Unhealthy
7048,India,Manihari,188,Unhealthy,3,Good,153,Unhealthy,1,Good,188,Unhealthy
7055,India,Khatra,184,Unhealthy,1,Good,82,Moderate,1,Good,184,Unhealthy
7071,India,Kot Putli,323,Hazardous,1,Good,39,Good,0,Good,298,Very Unhealthy
7091,India,Jambusar,153,Unhealthy,0,Good,31,Good,0,Good,153,Unhealthy
7092,India,Jha Jha,184,Unhealthy,1,Good,87,Moderate,1,Good,184,Unhealthy
7094,China,Jiaozuo,169,Unhealthy,5,Good,169,Unhealthy,11,Good,154,Unhealthy
7109,India,Kanke,165,Unhealthy,1,Good,47,Good,0,Good,165,Unhealthy
7111,India,Kasganj,500,Hazardous,1,Good,61,Moderate,3,Good,476,Hazardous
7115,India,Kendrapara,165,Unhealthy,2,Good,45,Good,2,Good,165,Unhealthy
7117,India,Khagaria,193,Unhealthy,4,Good,172,Unhealthy,1,Good,193,Unhealthy
7133,India,Rohtak,500,Hazardous,1,Good,41,Good,1,Good,467,Hazardous
7144,India,Porsa,189,Unhealthy,1,Good,46,Good,0,Good,189,Unhealthy
7153,Venezuela (Bolivarian Republic of),Puerto Cabello,155,Unhealthy,4,Good,12,Good,11,Good,155,Unhealthy
7156,India,Pujali,175,Unhealthy,3,Good,104,Unhealthy for Sensitive Groups,3,Good,175,Unhealthy
7158,China,Qinnan,171,Unhealthy,3,Good,171,Unhealthy,3,Good,142,Unhealthy for Sensitive Groups
7160,India,Radhanpur,216,Very Unhealthy,0,Good,31,Good,0,Good,208,Very Unhealthy
7209,India,Bayana,211,Very Unhealthy,1,Good,64,Moderate,0,Good,211,Very Unhealthy
7216,China,Zhuozhou,162,Unhealthy,5,Good,19,Good,33,Good,162,Unhealthy
7245,Guinea,Koundara,153,Unhealthy,1,Good,20,Good,0,Good,153,Unhealthy
7263,India,Karanja,152,Unhealthy,1,Good,30,Good,0,Good,152,Unhealthy
7271,Pakistan,Kharan,154,Unhealthy,1,Good,46,Good,0,Good,154,Unhealthy
7332,India,Shujalpur,192,Unhealthy,1,Good,37,Good,0,Good,192,Unhealthy
7341,Syrian Arab Republic,Darayya,166,Unhealthy,1,Good,58,Moderate,1,Good,166,Unhealthy
7346,India,Deshnok,443,Hazardous,1,Good,39,Good,0,Good,320,Hazardous
7354,Pakistan,Dunga Bunga,162,Unhealthy,3,Good,162,Unhealthy,0,Good,157,Unhealthy
7357,Uzbekistan,Dustlik,169,Unhealthy,1,Good,47,Good,0,Good,169,Unhealthy
7362,China,Linxi,157,Unhealthy,3,Good,157,Unhealthy,3,Good,125,Unhealthy for Sensitive Groups
7379,India,Mahudha,164,Unhealthy,1,Good,38,Good,0,Good,164,Unhealthy
7394,India,Memari,160,Unhealthy,4,Good,147,Unhealthy for Sensitive Groups,3,Good,160,Unhealthy
7409,Pakistan,Naudero,184,Unhealthy,1,Good,97,Moderate,1,Good,184,Unhealthy
7410,China,Neijiang,183,Unhealthy,9,Good,26,Good,31,Good,183,Unhealthy
7425,Brazil,Nova Iguacu,164,Unhealthy,5,Good,1,Good,21,Good,164,Unhealthy
7436,Libya,Mizdah,155,Unhealthy,1,Good,31,Good,0,Good,155,Unhealthy
7437,Brazil,Moji Das Cruzes,170,Unhealthy,7,Good,0,Good,21,Good,170,Unhealthy
7458,India,Guskhara,160,Unhealthy,5,Good,33,Good,12,Good,160,Unhealthy
7463,India,Harduaganj,170,Unhealthy,5,Good,48,Good,17,Good,170,Unhealthy
7464,Pakistan,Harnoli,174,Unhealthy,4,Good,52,Moderate,5,Good,174,Unhealthy
7465,India,Harsud,193,Unhealthy,1,Good,39,Good,1,Good,193,Unhealthy
7474,India,Hindoria,163,Unhealthy,3,Good,72,Moderate,2,Good,163,Unhealthy
7475,India,Hingoli,158,Unhealthy,1,Good,31,Good,3,Good,158,Unhealthy
7483,China,Hsinying,167,Unhealthy,6,Good,2,Good,39,Good,167,Unhealthy
7488,India,Hyderabad,201,Very Unhealthy,8,Good,11,Good,19,Good,201,Very Unhealthy
7498,India,Itimadpur,181,Unhealthy,6,Good,38,Good,14,Good,181,Unhealthy
7504,India,Jammu,158,Unhealthy,4,Good,53,Moderate,4,Good,158,Unhealthy
7506,Indonesia,Jaten,168,Unhealthy,6,Good,8,Good,18,Good,168,Unhealthy
7507,Pakistan,Jatoi,186,Unhealthy,2,Good,47,Good,3,Good,186,Unhealthy
7515,India,Kalyan,180,Unhealthy,7,Good,7,Good,16,Good,180,Unhealthy
7516,India,Kamareddi,176,Unhealthy,2,Good,42,Good,3,Good,176,Unhealthy
7524,India,Karanpura,172,Unhealthy,4,Good,67,Moderate,7,Good,172,Unhealthy
7525,India,Kashipur,159,Unhealthy,4,Good,19,Good,12,Good,159,Unhealthy
7526,Pakistan,Kasur,173,Unhealthy,4,Good,76,Moderate,8,Good,173,Unhealthy
7559,India,Alipur,174,Unhealthy,5,Good,167,Unhealthy,4,Good,174,Unhealthy
7560,Pakistan,Shahdadkot,158,Unhealthy,1,Good,57,Moderate,1,Good,158,Unhealthy
7571,China,Shanting,170,Unhealthy,4,Good,170,Unhealthy,5,Good,165,Unhealthy
7573,South Africa,Orkney,182,Unhealthy,10,Good,16,Good,14,Good,182,Unhealthy
7626,India,Gobardanga,177,Unhealthy,6,Good,89,Moderate,7,Good,177,Unhealthy
7628,India,Gopalganj,173,Unhealthy,4,Good,154,Unhealthy,1,Good,173,Unhealthy
7649,Mexico,Ixtapaluca,321,Hazardous,5,Good,6,Good,21,Good,321,Hazardous
7652,China,Jiangkou,180,Unhealthy,3,Good,180,Unhealthy,3,Good,94,Moderate
7659,India,Kailaras,227,Very Unhealthy,1,Good,44,Good,0,Good,227,Very Unhealthy
7661,Pakistan,Kamalia,192,Unhealthy,2,Good,137,Unhealthy for Sensitive Groups,1,Good,192,Unhealthy
7662,Pakistan,Kambar,173,Unhealthy,1,Good,61,Moderate,2,Good,173,Unhealthy
7733,India,Gandhidham,166,Unhealthy,0,Good,32,Good,0,Good,166,Unhealthy
7737,India,Garui,198,Unhealthy,3,Good,91,Moderate,3,Good,198,Unhealthy
7747,Mexico,Cuautepec,160,Unhealthy,2,Good,16,Good,5,Good,160,Unhealthy
7753,India,Dubrajpur,197,Unhealthy,2,Good,107,Unhealthy for Sensitive Groups,1,Good,197,Unhealthy
7757,India,Dungarpur,167,Unhealthy,1,Good,39,Good,0,Good,167,Unhealthy
7758,India,Durg,157,Unhealthy,1,Good,46,Good,0,Good,157,Unhealthy
7765,Nigeria,Eruwa,169,Unhealthy,9,Good,5,Good,7,Good,169,Unhealthy
7766,India,Etah,500,Hazardous,1,Good,50,Good,3,Good,437,Hazardous
7774,India,Gurh,204,Very Unhealthy,1,Good,42,Good,1,Good,204,Very Unhealthy
7778,India,Harij,182,Unhealthy,0,Good,32,Good,0,Good,182,Unhealthy
7797,Oman,Ibra,153,Unhealthy,1,Good,97,Moderate,0,Good,153,Unhealthy
7800,China,Daliang,166,Unhealthy,6,Good,20,Good,22,Good,166,Unhealthy
7806,India,Devgarh,176,Unhealthy,0,Good,30,Good,0,Good,176,Unhealthy
7813,China,Chichi,189,Unhealthy,3,Good,189,Unhealthy,7,Good,151,Unhealthy
7817,Indonesia,Citeureup,172,Unhealthy,4,Good,172,Unhealthy,2,Good,148,Unhealthy for Sensitive Groups
7823,India,Visakhapatnam,155,Unhealthy,2,Good,78,Moderate,2,Good,155,Unhealthy
7825,India,Wadhwan,158,Unhealthy,1,Good,38,Good,0,Good,158,Unhealthy
7837,China,Xinpu,171,Unhealthy,4,Good,171,Unhealthy,3,Good,141,Unhealthy for Sensitive Groups
7838,China,Xinye,195,Unhealthy,3,Good,195,Unhealthy,2,Good,139,Unhealthy for Sensitive Groups
7852,China,Ziyang,184,Unhealthy,9,Good,39,Good,24,Good,184,Unhealthy
7881,India,Mahishadal,167,Unhealthy,2,Good,99,Moderate,2,Good,167,Unhealthy
7886,Pakistan,Mangla,244,Very Unhealthy,2,Good,120,Unhealthy for Sensitive Groups,1,Good,244,Very Unhealthy
7892,Finland,Kirkkonummi,185,Unhealthy,7,Good,24,Good,13,Good,185,Unhealthy
7895,India,Koch Bihar,158,Unhealthy,2,Good,68,Moderate,1,Good,158,Unhealthy
7908,India,Kasimbazar,181,Unhealthy,2,Good,119,Unhealthy for Sensitive Groups,2,Good,181,Unhealthy
7911,Pakistan,Jauharabad,224,Very Unhealthy,2,Good,141,Unhealthy for Sensitive Groups,1,Good,224,Very Unhealthy
7913,Pakistan,Jhol,172,Unhealthy,1,Good,43,Good,0,Good,172,Unhealthy
7914,China,Jiehu,156,Unhealthy,3,Good,156,Unhealthy,2,Good,118,Unhealthy for Sensitive Groups
7916,India,Jobat,154,Unhealthy,1,Good,35,Good,0,Good,154,Unhealthy
7964,Dominican Republic,Villa Bisono,160,Unhealthy,4,Good,7,Good,14,Good,160,Unhealthy
7975,India,Wardha,164,Unhealthy,0,Good,29,Good,0,Good,164,Unhealthy
8023,India,Udaipura,167,Unhealthy,1,Good,38,Good,0,Good,167,Unhealthy
8033,South Africa,Vereeniging,274,Very Unhealthy,16,Good,8,Good,19,Good,274,Very Unhealthy
8063,India,Hoshangabad,152,Unhealthy,1,Good,38,Good,0,Good,152,Unhealthy
8074,Pakistan,Hafizabad,248,Very Unhealthy,2,Good,149,Unhealthy for Sensitive Groups,1,Good,248,Very Unhealthy
8080,Pakistan,Hasan Abdal,472,Hazardous,1,Good,46,Good,0,Good,374,Hazardous
8082,India,Hatta,155,Unhealthy,1,Good,43,Good,0,Good,155,Unhealthy
8086,Finland,Helsinki,162,Unhealthy,5,Good,17,Good,15,Good,162,Unhealthy
8092,India,Isagarh,158,Unhealthy,1,Good,43,Good,0,Good,158,Unhealthy
8099,India,Jagadhri,500,Hazardous,1,Good,74,Moderate,1,Good,470,Hazardous
8101,India,Gopamau,500,Hazardous,1,Good,52,Moderate,1,Good,378,Hazardous
8126,Aruba,Oranjestad,163,Unhealthy,0,Good,23,Good,0,Good,163,Unhealthy
8140,South Africa,Pretoria,329,Hazardous,20,Good,2,Good,18,Good,329,Hazardous
8146,Pakistan,Raiwind,186,Unhealthy,3,Good,179,Unhealthy,2,Good,186,Unhealthy
8152,India,Rehli,157,Unhealthy,1,Good,37,Good,0,Good,157,Unhealthy
8179,India,Sandila,472,Hazardous,1,Good,64,Moderate,2,Good,380,Hazardous
8191,India,Sarangarh,161,Unhealthy,1,Good,52,Moderate,0,Good,161,Unhealthy
8193,India,Sherkot,240,Very Unhealthy,6,Good,156,Unhealthy,9,Good,240,Very Unhealthy
8197,India,Sironj,154,Unhealthy,1,Good,38,Good,0,Good,154,Unhealthy
8199,India,Sardulgarh,500,Hazardous,1,Good,40,Good,1,Good,500,Hazardous
8206,Pakistan,Sehwan,162,Unhealthy,1,Good,39,Good,0,Good,162,Unhealthy
8211,India,Shahdol,175,Unhealthy,1,Good,39,Good,0,Good,175,Unhealthy
8212,China,Shanghai,156,Unhealthy,4,Good,156,Unhealthy,8,Good,152,Unhealthy
8225,India,Pawayan,383,Hazardous,3,Good,165,Unhealthy,2,Good,354,Hazardous
8249,China,Suixi,172,Unhealthy,3,Good,172,Unhealthy,2,Good,84,Moderate
